"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"15/06/2025","314","324","328","312","27,22M","-3,09%"
"08/06/2025","324","398","400","320","86,13M","-17,35%"
"01/06/2025","392","380","400","380","137,10M","7,10%"
"25/05/2025","366","328","380","322","69,15M","12,27%"
"18/05/2025","326","314","332","314","18,63M","3,16%"
"11/05/2025","316","322","328","310","10,10M","-1,25%"
"04/05/2025","320","308","340","294","28,46M","5,26%"
"27/04/2025","304","308","312","300","8,79M","-0,65%"
"20/04/2025","306","304","332","300","13,29M","2,00%"
"13/04/2025","300","280","308","276","6,59M","7,91%"
"06/04/2025","278","280","284","268","5,52M","-7,95%"
"23/03/2025","302","284","308","276","14,92M","6,34%"
"16/03/2025","284","302","306","282","10,08M","-5,33%"
"09/03/2025","300","288","306","280","9,82M","4,17%"
"02/03/2025","288","270","292","270","11,95M","7,46%"
"23/02/2025","268","296","300","262","13,27M","-9,46%"
"16/02/2025","296","294","308","290","5,71M","-1,33%"
"09/02/2025","300","300","302","284","11,52M","-0,66%"
"02/02/2025","302","314","314","300","12,87M","-3,82%"
"26/01/2025","314","318","320","302","4,87M","-1,26%"
"19/01/2025","318","314","330","314","5,42M","1,27%"
"12/01/2025","314","308","316","302","4,19M","2,61%"
"05/01/2025","306","314","316","300","8,68M","-2,55%"
"29/12/2024","314","312","316","308","2,83M","0,64%"
"22/12/2024","312","304","316","302","4,25M","1,96%"
"15/12/2024","306","336","336","302","10,87M","-8,93%"
"08/12/2024","336","324","366","316","26,20M","3,70%"
"01/12/2024","324","312","328","302","12,06M","3,85%"
"24/11/2024","312","330","330","312","16,24M","-5,45%"
"17/11/2024","330","332","334","322","8,65M","-0,60%"
"10/11/2024","332","346","352","330","23,91M","-4,05%"
"03/11/2024","346","388","390","344","33,26M","-10,82%"
"27/10/2024","388","404","408","388","23,14M","-3,96%"
"20/10/2024","404","412","418","404","27,05M","-1,94%"
"13/10/2024","412","410","418","406","21,45M","0,49%"
"06/10/2024","410","418","422","408","16,64M","-1,91%"
"29/09/2024","418","422","430","412","21,81M","-0,48%"
"22/09/2024","420","424","438","410","23,07M","-0,94%"
"15/09/2024","424","422","428","420","11,18M","0,47%"
"08/09/2024","422","424","430","418","16,49M","0,00%"
"01/09/2024","422","424","430","418","16,96M","0,00%"
"25/08/2024","422","420","458","418","81,51M","0,48%"
"18/08/2024","420","404","430","404","30,45M","3,96%"
"11/08/2024","404","392","408","390","15,78M","3,06%"
"04/08/2024","392","408","408","380","29,91M","-3,92%"
"28/07/2024","408","412","412","402","33,85M","-0,97%"
"21/07/2024","412","472","474","406","74,91M","-12,34%"
"14/07/2024","470","472","476","466","24,57M","-0,42%"
"07/07/2024","472","474","480","470","26,67M","-0,42%"
"30/06/2024","474","486","498","470","57,84M","-1,25%"
"23/06/2024","480","505","510","478","99,06M","-4,00%"